Subsystem,N_reactions,N_significant,Frac_significant,N_positive,N_negative,Sign_consistency,p_sign,Mean_Cohen_d,Median_Cohen_d,Mean_abs_Cohen_d,q_sign,Sign_consistent
Oxidative Phosphorylation,5,3,0.6,1,3,0.75,0.3125,-0.5588338482466868,-0.8823169733120493,0.7041624068164348,0.8793103448275862,False
Biomass and maintenance functions,2,1,0.5,0,1,1.0,0.5,-0.6748144978161977,-0.6748144978161977,0.6748144978161977,0.8793103448275862,False
"Tyr, Phe, Trp Biosynthesis",1,0,0.0,1,0,1.0,0.5,0.563868142658649,0.563868142658649,0.563868142658649,0.8793103448275862,False
Cholesterol Metabolism,43,15,0.3488372093023256,6,25,0.8064516129032258,0.0004389551468193531,-0.5258849123904511,-0.24639219690536995,0.5552600090714721,0.04477342497557402,True
D-alanine metabolism,3,0,0.0,2,1,0.6666666666666666,0.5,0.12567487737781124,0.37702463213343373,0.3770246321334338,0.8793103448275862,False
Salvage Pathway,3,0,0.0,0,2,1.0,0.25,-0.3661518322297414,-0.46148534520750245,0.3661518322297414,0.8793103448275862,False
Glycolysis/Gluconeogenesis,29,7,0.2413793103448276,9,10,0.5263157894736842,0.5,0.010041293196290702,0.0,0.362565456860661,0.8793103448275862,False
Triacylglycerol Synthesis,13,3,0.23076923076923078,2,5,0.7142857142857143,0.2265625,-0.31131065086457743,0.0,0.35035427921110635,0.8793103448275862,False
Pyrimidine Biosynthesis,8,2,0.25,0,2,1.0,0.25,-0.3148447708917991,0.0,0.3148447708917991,0.8793103448275862,False
Glycerophospholipid Metabolism,47,9,0.19148936170212766,5,11,0.6875,0.1050567626953125,-0.21890350809497436,0.0,0.28729941649629304,0.8793103448275862,False
R Group Synthesis,50,6,0.12,16,9,0.64,0.11476147174835205,0.008932623748956097,0.0,0.2586142024658884,0.8793103448275862,False
ROS Detoxification,6,0,0.0,2,3,0.6,0.5,-0.07622324829266344,-0.08817413823272838,0.25571908980592345,0.8793103448275862,False
"Transport, Peroxisomal",80,10,0.125,15,15,0.5,0.572232224047184,-0.0001540035382027516,0.0,0.23674009805918322,0.9892828280137758,False
Lysine Metabolism,22,0,0.0,4,8,0.6666666666666666,0.19384765625,-0.1099272926748937,0.0,0.21430145599084433,0.8793103448275862,False
Pyrimidine Catabolism,18,1,0.05555555555555555,6,5,0.5454545454545454,0.5,0.053756524614360895,0.0,0.20518256718750502,0.8793103448275862,False
Tryptophan metabolism,42,0,0.0,10,6,0.625,0.2272491455078125,0.09159378120932898,0.0,0.18934022725322078,0.8793103448275862,False
Urea cycle/amino group metabolism,25,0,0.0,4,7,0.6363636363636364,0.2744140625,-0.06395268008306931,0.0,0.18882673042016676,0.8793103448275862,False
Tyrosine metabolism,45,0,0.0,9,14,0.6086956521739131,0.2024364471435547,-0.04241873552558927,0.0,0.18772401293471827,0.8793103448275862,False
Pentose Phosphate Pathway,18,0,0.0,1,12,0.9230769230769231,0.001708984375,-0.15206359380296833,-0.16693403100662943,0.18507323526280184,0.087158203125,False
Fructose and Mannose Metabolism,16,1,0.0625,0,8,1.0,0.00390625,-0.17867192430102966,-0.0600518438111038,0.17867192430102966,0.1328125,False
Vitamin A Metabolism,32,0,0.0,12,11,0.5217391304347826,0.5,0.02825814072403386,0.0,0.17701194977587098,0.8793103448275862,False
Pentose and Glucuronate Interconversions,12,0,0.0,2,5,0.7142857142857143,0.2265625,-0.12594810603789783,0.0,0.1709362926885248,0.8793103448275862,False
