ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
EX_acetone_e,Acetone exchange,Extracellular exchange,acetone_e,Acetone,-1.0,0.310914028113013,12.994937491644178
EX_ala__L_e,L-Alanine exchange,Extracellular exchange,ala__L_e,L-Alanine,-1.0,-0.6098586869425762,0.480907019510531
EX_bhb_e,(R)-3-Hydroxybutanoate transport via H+ symport,Extracellular exchange,bhb_e,(R)-3-Hydroxybutanoate,-1.0,-0.3550421227684041,0.2197598749570613
EX_acac_e,Acetoacetate exchange,Extracellular exchange,acac_e,Acetoacetate,-1.0,-0.3146685332449286,314668533244.92865
EX_co2_e,CO2 exchange,Extracellular exchange,co2_e,CO2 CO2,-1.0,-1.2443078028057089,0.496738059947276
EX_h_e,H+ exchange,Extracellular exchange,h_e,H+,-1.0,-0.3945919319937969,0.7666693341097706
EX_h2o_e,H2O exchange,Extracellular exchange,h2o_e,H2O H2O,-1.0,0.2,0.0
EX_pyr_e,Pyruvate exchange,Extracellular exchange,pyr_e,Pyruvate,-1.0,-0.2236019814116431,0.0
EX_glu__L_e,L-Glutamate exchange,Extracellular exchange,glu__L_e,L-Glutamate,-1.0,0.2240159238676196,0.1828978173072789
EX_hco3_e,EX hco3 LPAREN e RPAREN ,Extracellular exchange,hco3_e,Bicarbonate,-1.0,0.2079827916531012,0.2594737855689233
EX_srtn_e,Serotonin exchange,Extracellular exchange,srtn_e,Serotonin,-1.0,-0.3486685396689673,0.0
EX_trp__L_e,L-Tryptophan exchange,Extracellular exchange,trp__L_e,L-Tryptophan,-1.0,0.3488180498690996,0.0050643663884459
EX_tyr__L_e,L-Tyrosine exchange,Extracellular exchange,tyr__L_e,L-Tyrosine,-1.0,0.2642152241917913,0.2889019432008488
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,34hpp_c,3-(4-Hydroxyphenyl)pyruvate,-1.0,-0.356930128970032,0.0
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,co2_c,CO2 CO2,1.0,-0.356930128970032,0.0
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,hgentis_c,Homogentisate C8H7O4,1.0,-0.356930128970032,0.0
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,o2_c,O2 O2,-1.0,-0.356930128970032,0.0
