ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
EX_ala__D_e,D-Alanine exchange,Extracellular exchange,ala__D_e,D-Alanine,-1.0,0.3796561604584527,379656160458.4528
EX_ala__L_e,L-Alanine exchange,Extracellular exchange,ala__L_e,L-Alanine,-1.0,-0.7752877261742044,0.5300213752158159
EX_2mcit_e,2-Methylcitrate exchange,Extracellular exchange,2mcit_e,2-Methylcitrate,-1.0,-0.3344749532565114,0.1543355745005773
EX_acac_e,Acetoacetate exchange,Extracellular exchange,acac_e,Acetoacetate,-1.0,-0.3394899524491933,7.678537888913023
EX_co2_e,CO2 exchange,Extracellular exchange,co2_e,CO2 CO2,-1.0,-2.468441364507723,0.4200451980863048
EX_h_e,H+ exchange,Extracellular exchange,h_e,H+,-1.0,-0.4309955153745231,0.7658869256595392
EX_glc__D_e,D-Glucose exchange,Extracellular exchange,glc__D_e,D-Glucose,-1.0,-0.2,200000000000.0
EX_srtn_e,Serotonin exchange,Extracellular exchange,srtn_e,Serotonin,-1.0,-0.35845994984511,0.0
EX_trp__L_e,L-Tryptophan exchange,Extracellular exchange,trp__L_e,L-Tryptophan,-1.0,0.3586737188036936,0.0051968931047468
EX_tyr__L_e,L-Tyrosine exchange,Extracellular exchange,tyr__L_e,L-Tyrosine,-1.0,0.8008277785320915,0.0095852378443071
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",hco3_c,Bicarbonate,2.0,-0.2150887236522228,0.0
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",hco3_e,Bicarbonate,-2.0,-0.2150887236522228,0.0
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",na1_c,Sodium,1.0,-0.2150887236522228,0.0
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",na1_e,Sodium,-1.0,-0.2150887236522228,0.0
